Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
WAW,2013,8,3,5,35.0,7.4592601813014525,0.12220971383261453,4.4592601813014525,2.059557561002595,2.1651544320667977
MIN,2013,9,9,0,17.0,8.71250971692705,0.0604905472369302,-0.28749028307295,1.722181792415251,-0.1669337606163883
POR,2013,10,10,0,11.0,9.781654846088617,0.03937719369655432,-0.21834515391138254,1.5884565480272657,-0.13745742946670436
PHI,2013,11,11,0,8.0,10.809100464476854,0.02872277784935907,-0.19089953552314576,1.52171357856631,-0.1254503726667161
SEA/OKC,2013,12,12,0,7.0,11.790744949067205,0.025157026939553247,-0.20925505093279462,1.5717278159905201,-0.13313695208792864
DAL,2013,13,13,0,6.0,12.783046580900518,0.02158418721886877,-0.2169534190994824,1.594288770348021,-0.13608163284755692
UTA,2013,14,14,0,5.0,13.786057068236099,0.01800428922546677,-0.213942931763901,1.5837770281060075,-0.13508399728448459
CHA,2012,1,2,-1,250.0,2.6466307611597397,0.6396794138949575,0.6466307611597397,1.2038025552771496,0.5371568271931993
WAW,2012,2,3,-1,199.0,2.9793880043095666,0.5536020449536261,-0.02061199569043337,1.333877242036332,-0.015452693127117572
CLE,2012,3,4,-1,138.0,3.5342730114764676,0.42178475771725255,-0.46572698852353245,1.4802377104482434,-0.3146298633227644
CHA/NOP,2012,4,1,3,137.0,3.832052087107602,0.41933927989013,2.832052087107602,1.7164974544267193,1.6499017110709662
SAC,2012,5,5,0,76.0,4.838991749553751,0.25262825286266055,-0.16100825044624933,1.761360256237901,-0.09141131115910821
POR,2012,6,6,0,75.0,5.390398172568782,0.24961346270969048,-0.6096018274312183,2.0268823705674306,-0.30075836480858964
GSW,2012,7,7,0,36.0,6.678497514486379,0.1253750736974517,-0.32150248551362104,1.8247763743381153,-0.17618733453310778
TOR,2012,8,8,0,35.0,7.459938142524422,0.12202490336888278,-0.5400618574755782,2.0584048843053373,-0.262369109980924
DET,2012,9,9,0,17.0,8.712865218546185,0.06039969660414709,-0.28713478145381544,1.7211362578748637,-0.16682861693260068
CHA/NOP,2012,10,10,0,11.0,9.781930451075446,0.03931822848600332,-0.21806954892455366,1.587462353960448,-0.1373699025873006
POR,2012,11,11,0,8.0,10.809348703366094,0.02867983610652458,-0.1906512966339058,1.5207431922744334,-0.12536718730844126
MIL,2012,12,12,0,7.0,11.79102777516916,0.025119436953334667,-0.20897222483083944,1.570716401590679,-0.13304261967291572
PHX,2012,13,13,0,6.0,12.78334754199571,0.02155195395159565,-0.21665245800429034,1.5932539028207469,-0.13598112492975664
HOU,2012,14,14,0,5.0,13.786359643546373,0.01797741743762544,-0.21364035645362733,1.582740311852002,-0.13498130732744254
MIN,2011,1,2,-1,250.0,2.645767794991442,0.6402835922323469,0.6457677949914422,1.2034054036269906,0.5366169979336451
CLE,2011,2,4,-2,199.0,2.977969638304996,0.5541900025368401,-1.0220303616950042,1.3330240949532606,-0.7667005912078726
TOR,2011,3,5,-2,156.0,3.4040419282825116,0.46473698908651595,-1.5959580717174884,1.495641193534454,-1.067072823760603
WAW,2011,4,6,-2,119.0,3.9657412578310103,0.3741626862830272,-2.0342587421689897,1.6690859645709777,-1.218786081333969
SAC,2011,5,7,-2,76.0,4.838648571997488,0.25293153046577266,-2.1613514280025123,1.761754525192879,-1.2268175827536956
UTA,2011,6,3,3,75.0,5.389490330934323,0.2499131716376521,2.389490330934323,2.027280911325466,1.1786676022969305
DET,2011,7,8,-1,43.0,6.537012282695502,0.14878150993859515,-1.4629877173044976,1.9419856385302854,-0.753346311258873
CLE,2011,8,1,7,28.0,7.6027065304467,0.0984719156336506,6.6027065304467,1.8792826540343754,3.5134185463119403
CHA,2011,9,9,0,17.0,8.712587798430912,0.0604715592788101,-0.2874122015690883,1.7219659359388173,-0.1669093421481598
MIL,2011,10,10,0,11.0,9.781715053145128,0.03936487394188988,-0.21828494685487243,1.5882507355709934,-0.1374373340216944
GSW,2011,11,11,0,8.0,10.809154118672872,0.02871380738547949,-0.1908458813271281,1.5215122818348585,-0.12543170607665333
UTA,2011,12,12,0,7.0,11.790805100567155,0.025149174874283645,-0.20919489943284475,1.5715175840399385,-0.13311648660975356
PHX,2011,13,13,0,6.0,12.783109899901936,0.02157745446651447,-0.2168901000980643,1.5940733326244598,-0.13606030265933847
HOU,2011,14,14,0,5.0,13.786120210540721,0.01799867665862139,-0.21387978945927877,1.583560947449164,-0.135062556198927
BKN,2010,1,3,-2,250.0,2.6462606081910165,0.6399300041134586,-0.3537393918089835,1.203639408736968,-0.29389150042883516
MIN,2010,2,4,-2,199.0,2.9787949778022424,0.5538500456743107,-1.0212050221977576,1.3335366495644685,-0.7657869939542209
SAC,2010,3,5,-2,156.0,3.4053129093306955,0.46443412535580514,-1.5946870906693045,1.4964063388372875,-1.065677850515109
GSW,2010,4,6,-2,104.0,4.112375300604242,0.33357278461472256,-1.887624699395758,1.637049745511701,-1.1530649600423313
WAW,2010,5,1,4,103.0,4.5338240317400995,0.3308094895815848,3.5338240317400995,1.8933003842115317,1.866488836747248
PHI,2010,6,2,4,53.0,5.712851599041082,0.18118988145940423,3.712851599041082,1.825754992911013,2.0335979435670346
DET,2010,7,7,0,53.0,6.370220854913954,0.18118988145940423,-0.6297791450860464,2.0971662792736248,-0.3003000531289188
LAC,2010,8,8,0,23.0,7.723106331679491,0.08125734774940047,-0.27689366832050943,1.7382449985038317,-0.15929496046808217
UTA,2010,9,9,0,22.0,8.591341920207226,0.07780498576725592,-0.40865807979277413,1.9280569422103682,-0.211953325052879
IND,2010,10,10,0,11.0,9.781845960811706,0.039338432102617116,-0.21815403918829368,1.587809797053145,-0.1373930552596231
CHA/NOP,2010,11,11,0,8.0,10.809270442122482,0.028694553826834737,-0.19072955787751766,1.521080774371565,-0.12539081493309756
VAN/MEM,2010,12,12,0,7.0,11.79093491232274,0.025132321682003276,-0.20906508767725995,1.571066671450759,-0.13307206592588744
TOR,2010,13,13,0,6.0,12.783246119184287,0.02156300362703044,-0.21675388081571256,1.5936110551289921,-0.13601429289668662
HOU,2010,14,14,0,5.0,13.786255725491099,0.017986630068824443,-0.2137442745089011,1.5830971321224547,-0.1350165256267849
SAC,2009,1,4,-3,250.0,2.646652837565907,0.6397001915493359,-1.3533471624340931,1.2037826058450911,-1.1242454874017749
WAW,2009,2,5,-3,178.0,3.090810643025227,0.5120037406746708,-1.9091893569747729,1.3251616947848035,-1.4407218111483453
LAC,2009,3,1,2,177.0,3.286929967179709,0.5099259953929461,2.286929967179709,1.5258511193837718,1.49878971685213
SEA/OKC,2009,4,3,1,119.0,3.9650991340322985,0.3737100372816051,0.9650991340322985,1.668205149793577,0.5785254494339137
MIN,2009,5,6,-1,76.0,4.838374458354019,0.25261645462918836,-1.1616255416459813,1.7608430547196636,-0.6596985111946384
VAN/MEM,2009,6,2,4,75.0,5.389882640014024,0.2496017377330994,3.389882640014024,2.0263495509638427,1.6729012220036816
GSW,2009,7,7,0,43.0,6.5373657479548735,0.1485950662883879,-0.46263425204512654,1.941045638005912,-0.23834279987378507
NYK,2009,8,8,0,28.0,7.603057996716837,0.09834869850158934,-0.3969420032831632,1.8783495351763675,-0.21132488700825983
